fid,id,Carb.m1,B12,B11,B8A,B7,B6,B5,WVP,B8,B4,B3,B2,AOT
"1","1",1.244373004,1634,2388,2780,2488,2093,960,2078,2770,621,617,381,78
"2","2",1.493247605,1408,2169,3076,2808,2212,842,2189,2886,488,502,305,78
"3","3",2.654662409,1263,2075,3123,2869,2257,792,2198,2976,385,469,262,78
"4","4",1.693729923,1316,2063,3030,2802,2214,792,2198,2812,423,477,296,78
"5","5",0.5530546686,1298,2032,3132,2888,2305,741,2338,2940,367,453,262,78
"6","6",1.493247605,1307,2103,3289,3172,2284,997,2351,3174,492,598,348,78
"7","7",1.493247605,1284,2033,3001,2792,2174,768,2222,2872,399,458,274,78
"8","8",0.2488746009,1316,2063,3030,2802,2214,792,2198,2900,395,471,283,78
"9","9",2.654662409,1356,2119,3078,2834,2238,809,2224,2980,434,464,290,78
"10","10",1.244373004,1497,2293,3026,2778,2177,902,2184,2798,494,493,316,78
"11","11",1.244373004,1629,2375,2943,2704,2244,982,2153,2834,578,538,348,78
"12","12",2.032475907,1456,2178,3011,2784,2211,873,2211,2866,493,505,294,78
"13","13",2.654662409,1356,2119,3078,2834,2238,809,2224,2942,447,462,296,78
"14","14",0.5530546686,1267,2036,3089,2841,2216,761,2222,2934,394,451,256,78
"15","15",1.493247605,1284,2033,3001,2792,2174,768,2222,2972,378,453,265,78
"16","16",1.617684906,1291,2027,3189,2990,2407,759,2351,2990,326,417,267,78
"17","17",2.032475907,1298,2010,3021,2802,2192,768,2198,2924,392,434,256,78
"18","18",1.493247605,1356,2119,3078,2834,2238,809,2224,2922,402,461,273,78
"19","19",1.617684906,1456,2178,3011,2784,2211,873,2211,2776,502,505,320,78
"20","20",0.4424437349,1629,2375,2943,2704,2244,982,2153,2778,510,518,328,78
"21","21",2.032475907,1567,2322,3223,2936,2346,1008,2207,3152,758,678,416,78
"22","22",0.279983926,1466,2215,3099,2886,2247,878,2211,2858,479,487,300,78
"23","23",1.493247605,1356,2119,3078,2834,2238,809,2224,2942,447,462,296,78
"24","24",0.8641479197,1298,2010,3021,2802,2192,768,2198,2924,392,434,256,78
"25","25",2.032475907,1291,2027,3189,2990,2407,759,2351,3104,389,447,272,78
"26","26",1.493247605,1286,2010,3244,2980,2492,795,2351,3334,533,586,317,78
"27","27",1.036977504,1239,1962,3132,2822,2228,736,2284,2932,352,438,251,78
"28","28",1.617684906,1267,2036,3089,2841,2216,761,2222,2888,357,429,292,78
"29","29",0.8641479197,1372,2162,3182,2874,2273,817,2237,2888,426,472,298,78
"30","30",0.9505627117,1466,2215,3099,2886,2247,878,2211,3000,495,548,314,78
"31","31",0.5530546686,1567,2322,3223,2936,2346,1008,2207,2880,587,572,360,78
"32","32",0.6083601355,1466,2215,3099,2886,2247,878,2211,2866,481,535,304,78
"33","33",0.8641479197,1372,2162,3182,2874,2273,817,2237,2940,405,446,263,78
"34","34",1.036977504,1256,1977,3112,2891,2266,756,2237,2940,415,483,279,78
"35","35",1.493247605,1286,2010,3244,2980,2492,795,2351,3088,374,426,260,78
"36","36",1.493247605,1286,2010,3244,2980,2492,795,2351,3320,448,517,322,78
"37","37",2.032475907,1202,1930,3158,2974,2263,769,2284,3074,409,458,255,78
"38","38",1.244373004,1404,2147,3235,3009,2353,856,2249,3054,462,533,344,78
"39","39",0.9505627117,1163,2005,3157,2818,2218,705,2274,3152,474,544,330,78
"40","40",1.036977504,1321,2139,3202,2991,2281,841,2263,3282,446,550,310,78
"41","41",0.6636656023,1404,2147,3235,3009,2353,856,2249,3054,462,533,344,78
"42","42",0.8641479197,1202,1930,3158,2974,2263,769,2284,3074,409,458,255,78
"43","43",0.279983926,1258,1963,3270,2996,2339,753,2363,3022,416,503,264,78
"44","44",1.742122206,1282,2011,3293,3008,2444,764,2345,3056,408,447,258,78
"45","45",0.6636656023,1258,1963,3270,2996,2339,753,2363,3106,408,461,266,78
"46","46",1.493247605,1233,1963,3188,2922,2264,760,2262,3012,400,431,268,78
"47","47",2.201848899,1383,2142,3169,2934,2214,805,2249,3030,376,421,251,78
"48","48",1.244373004,1233,1963,3188,2922,2264,760,2262,3008,346,398,234,78
"49","49",1.036977504,1282,2011,3293,3008,2444,764,2345,3040,371,440,256,78
"50","50",3.639791038,1282,2011,3293,3008,2444,764,2345,3022,382,432,237,78
"51","51",1.493247605,1134,1970,3367,3023,2291,745,2345,3046,352,422,250,78
"52","52",1.617684906,1383,2142,3169,2934,2214,805,2249,2990,353,412,246,78
"53","53",1.036977504,1383,2142,3169,2934,2214,805,2249,3040,440,479,304,78
"54","54",0.8641479197,1159,1982,3311,2958,2343,684,2262,3064,333,408,230,78
"55","55",0.6636656023,1232,1949,3136,2837,2485,673,2213,3308,421,514,293,78
"56","56",1.493247605,1232,1949,3136,2837,2485,673,2213,2974,411,484,284,78
"57","57",1.493247605,1159,1982,3311,2958,2343,684,2262,3220,342,410,247,78
"58","58",0.8641479197,1423,2224,3049,2774,2224,810,2209,2916,427,468,262,78
"59","59",0.3110932511,1423,2224,3049,2774,2224,810,2209,2918,387,469,290,78
"60","60",1.036977504,1159,1982,3311,2958,2343,684,2262,3220,342,410,247,78
"61","61",1.493247605,1232,1949,3136,2837,2485,673,2213,3098,422,495,307,78
"62","62",10.07942134,1959,2596,3022,2740,2261,1135,2300,2918,736,752,513,78
"63","63",11.98745994,1959,2596,3022,2740,2261,1135,2300,2784,665,695,427,78
"64","64",13.93697765,1437,2421,3554,3235,2516,979,2379,3362,546,594,363,78
"65","65",29.80964664,1517,2463,3379,3042,2462,1005,2419,3334,432,498,315,78
"66","66",20.07588447,1959,2596,3022,2740,2261,1135,2300,3116,471,528,331,78
"67","67",18.28536998,1697,2516,3231,2987,2309,999,2300,3366,401,462,312,78
"68","68",13.82636672,1517,2463,3379,3042,2462,1005,2419,3334,432,498,315,78
"69","69",12.44373004,1437,2421,3554,3235,2516,979,2379,3374,473,505,334,78
"70","70",11.19935704,1220,2064,2965,2616,2162,775,2168,3038,316,412,246,78
"71","71",17.91897126,1220,2064,2965,2616,2162,775,2168,2942,475,557,333,78
"72","72",15.92797446,1463,2376,3462,3201,2493,917,2366,3396,488,510,303,78
"73","73",13.82636672,1372,2302,3606,3294,2507,871,2419,3374,423,472,279,78
"74","74",11.06109337,1697,2516,3231,2987,2309,999,2300,3272,446,481,305,78
"75","75",7.839549928,1368,2317,3626,3292,2493,815,2421,3384,433,472,284,78
"76","76",15.05691335,1368,2317,3626,3292,2493,815,2421,3374,440,485,295,78
"77","77",11.06109337,1372,2302,3606,3294,2507,871,2419,3376,446,483,307,78
"78","78",7.839549928,1544,2553,3478,3085,2487,1005,2212,3260,588,597,378,78
