fid,id,WVP,B8,B4,B3,B2,AOT,B12,B11,B8A,B7,B6,B5
"1","1",1511,2346,119,124,39,204,397,899,2487,2165,1598,424
"2","2",1621,2724,332,364,150,204,449,957,2746,2365,1891,710
"3","3",1769,3702,521,623,362,204,803,1495,3085,2833,2299,860
"4","4",1575,2428,122,140,19,204,422,923,2483,2246,1719,437
"5","5",1726,2676,321,353,160,204,561,1127,2723,2386,1879,654
"6","6",1721,2580,102,181,47,204,395,869,2631,2383,1855,470
"7","7",1631,2350,103,148,26,204,341,788,2388,2139,1631,407
"8","8",1428,2372,88,129,27,204,381,850,2419,2189,1642,430
"9","9",1413,2326,96,130,17,204,431,1029,2558,2244,1701,425
"10","10",1676,2652,157,189,72,203,523,1104,2743,2462,1936,543
"11","11",1676,2310,70,151,2,204,502,1032,2415,2114,1621,495
"12","12",1569,2686,100,142,5,204,346,789,2663,2408,1824,411
"13","13",1632,2456,77,143,26,204,386,866,2827,2559,1946,450
"14","14",1676,2530,83,126,13,204,316,722,2527,2290,1707,377
"15","15",1664,2476,85,132,19,204,353,796,2617,2355,1762,412
"16","17",1578,2358,91,115,22,204,308,713,2449,2210,1644,368
"17","18",1412,2276,225,232,125,200,850,1786,2439,2136,1876,760
"18","19",1256,2258,389,338,200,200,1191,2241,2465,2102,1792,890
"19","20",1248,2210,185,205,60,201,752,1636,2310,2007,1758,687
"20","20",1534,2348,232,220,101,203,818,1713,2459,2125,1813,748
"21","21",1647,2338,74,133,21,204,296,695,2418,2148,1612,367
"22","22",1649,2344,107,157,29,204,417,915,2457,2195,1681,436
"23","23",1564,2468,61,130,14,204,319,785,2649,2375,1758,371
"24","24",1621,2376,157,202,72,204,426,961,2563,2251,1713,449
"25","25",1529,2220,138,165,23,204,368,822,2373,2128,1623,392
"26","25",1306,2364,372,351,190,200,1014,2000,2453,2112,1864,909
"27","26",1496,3120,288,359,166,204,792,1556,2935,2590,2071,776
"28","27",1591,2566,117,189,47,204,395,902,2545,2268,1794,470
"29","28",1553,2526,67,128,13,204,288,726,2624,2390,1792,363
"30","29",1550,2348,85,157,56,204,362,804,2568,2276,1719,403
"31","30",1732,2446,90,127,41,204,343,781,2531,2289,1661,359
"32","31",1584,2520,92,127,17,204,420,978,2583,2306,1744,443
"33","33",1475,2456,168,184,39,203,749,1630,2581,2308,1964,700
"34","34",1407,2364,209,215,85,203,881,1826,2432,2139,1801,759
"35","35",1496,2352,139,169,34,203,758,1676,2439,2154,1802,680
"36","36",1665,2610,49,133,18,204,378,843,2708,2506,1844,364
"37","37",1480,2810,266,332,142,204,504,1204,2645,2247,1759,540
"38","38",1500,2282,116,156,30,204,467,1108,2503,2212,1727,456
"39","39",1432,2272,190,213,115,204,555,1180,2340,2104,1641,488
"40","40",1479,2458,140,193,50,204,416,1034,2594,2245,1743,465
"41","41",1566,2624,146,160,68,204,607,1361,2699,2347,1863,629
"42","42",1499,2280,101,137,50,204,425,975,2368,2081,1569,395
"43","44",1543,2372,89,124,1,204,297,761,2441,2220,1627,371
"44","45",1473,2712,106,190,45,204,307,806,2562,2238,1749,404
"45","46",1671,2448,88,113,22,204,290,683,2551,2283,1687,353
"46","47",1647,2294,164,203,70,204,409,960,2524,2176,1715,445
"47","48",1436,2402,151,239,65,204,412,921,2441,2109,1713,523
"48","49",1515,2294,90,126,59,204,393,1000,2395,2090,1532,377
"49","50",1455,2422,101,139,20,204,438,1044,2328,2037,1553,403
"50","51",1322,2420,235,258,94,200,827,1757,2508,2180,1856,749
"51","56",1304,2392,433,340,204,200,972,1907,2466,2131,1806,824
"52","57",1319,2230,240,249,106,200,890,1835,2336,2001,1769,780
"53","58",1653,3174,113,268,64,204,441,1048,3053,2783,2121,526
"54","59",1528,2872,208,325,118,204,545,1255,2700,2411,1842,508
"55","60",1240,2282,97,140,10,203,382,979,2500,2209,1645,373
